1,1,189
1,16,74641
1,32,315637
1,64,180810
2,1,65
2,16,13174
2,32,14148
2,64,21489
3,1,161
3,16,9480
3,32,12541
3,64,20566
4,1,180
4,16,16615
4,32,18733
4,64,25483
5,1,365
5,16,18351
5,32,18785
5,64,38513
6,1,575
6,16,17843
6,32,21971
6,64,47152
7,1,8007922
7,16,774564
7,32,543980
7,64,748236
8,1,14049410
8,16,1192652
8,32,765889
8,64,767537
9,1,215074180
9,16,11047231
9,32,5720438
9,64,5369903
10,1,14969715
10,16,1178143
10,32,831123
10,64,1390385
11,1,8645441753
11,16,568245069
11,32,294733920
11,64,209059580
12,1,20456348
12,16,1821371
12,32,1093770
12,64,1628879
13,16,188990981920
13,32,98117723951
13,64,70153015533
22,1,216
22,16,151734
22,32,19328
22,64,25430
23,1,358
23,16,17076
23,32,23424
23,64,29247
24,1,460
24,16,20474
24,32,26652
24,64,39460
25,1,2291
25,16,27378
25,32,32072
25,64,62489
26,1,4295
26,16,32513
26,32,39256
26,64,67210
27,1,31796
27,16,48714
27,32,57680
27,64,97028
28,1,9415
28,16,41247
28,32,45120
28,64,70454
29,1,31348
29,16,51684
29,32,63697
29,64,96963
30,1,503012
30,16,138069
30,32,112255
30,64,175942
31,1,2013116
31,16,570249
31,32,177960
31,64,267928
32,1,2017997
32,16,486138
32,32,231040
32,64,262453
33,1,14841547
33,16,2888736
33,32,634672
33,64,593236
34,1,106667878
34,16,10147351
34,32,3086775
34,64,3251504
35,1,417303424
35,16,26884813
35,32,11335271
35,64,10536012
36,1,1663508417
36,16,98196533
36,32,43560726
36,64,34704738
37,1,3344452361
37,16,184661852
37,32,82961124
37,64,68904140
38,1,839729832
38,16,44683357
38,32,18494959
38,64,16132993
39,1,3342080698
39,16,210407306
39,32,87402702
39,64,63156262
40,1,13375672079
40,16,715318248
40,32,336347853
40,64,246428489
41,1,107052868380
41,16,5335542376
41,32,2752279657
41,64,2048856461
42,16,12101584489
42,32,6260042990
42,64,4470770671
43,16,22048297470
43,32,11126481572
43,64,7900024794
44,16,309584843018
44,32,159296970145
44,64,114607460457
45,16,180525685128
45,32,94183821636
45,64,70622054954
46,16,1299267073697
46,32,690626176577
46,64,515810903899
47,16,2871664571421
47,32,1562638240193
47,64,1131890343597
48,16,2292036286545
48,32,1239510797278
48,64,920928733197
49,16,762574175306
49,32,407442214940
49,64,294280617716
50,16,316175525727
50,32,169285626274
50,64,129785290049
